ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600511.SH,20250423,29.59,29.69,29.38,29.46,29.59,-0.13,-0.4393,26038.0,76743.735
600511.SH,20250422,29.39,29.63,29.3,29.59,29.44,0.15,0.5095,19662.0,58091.269
600511.SH,20250421,29.23,29.69,29.1,29.44,29.24,0.2,0.684,35670.01,105098.238
600511.SH,20250418,29.19,29.33,29.09,29.24,29.19,0.05,0.1713,15008.45,43848.992
600511.SH,20250417,29.24,29.41,29.11,29.19,29.28,-0.09,-0.3074,24452.45,71468.369
600511.SH,20250416,29.3,29.36,29.01,29.28,29.4,-0.12,-0.4082,27024.0,78888.081
600511.SH,20250415,29.46,29.55,29.19,29.4,29.46,-0.06,-0.2037,28964.0,85048.408
600511.SH,20250414,29.49,29.54,29.3,29.46,29.43,0.03,0.1019,36517.0,107479.898
600511.SH,20250411,29.5,29.75,29.36,29.43,29.64,-0.21,-0.7085,36466.0,107527.11
600511.SH,20250410,29.74,29.93,29.5,29.64,29.67,-0.03,-0.1011,50041.56,148663.296
600511.SH,20250409,29.2,30.1,29.0,29.67,29.6,0.07,0.2365,67662.56,200047.193
600511.SH,20250408,28.69,29.6,28.64,29.6,28.87,0.73,2.5286,70408.2,205873.729
600511.SH,20250407,29.43,29.75,27.57,28.87,30.33,-1.46,-4.8137,116717.77,334856.429
600511.SH,20250403,29.95,30.55,29.9,30.33,30.09,0.24,0.7976,44544.89,134979.918
600511.SH,20250402,30.26,30.29,30.01,30.09,30.3,-0.21,-0.6931,36387.0,109578.716
600511.SH,20250401,29.91,30.6,29.85,30.3,29.82,0.48,1.6097,70819.19,214948.249
600511.SH,20250331,30.03,30.16,29.68,29.82,30.12,-0.3,-0.996,38089.62,113857.761
600511.SH,20250328,30.35,30.6,30.1,30.12,30.32,-0.2,-0.6596,45280.9,137199.37
600511.SH,20250327,30.14,30.37,29.98,30.32,30.15,0.17,0.5638,39432.0,119083.316
600511.SH,20250326,30.24,30.37,30.11,30.15,30.27,-0.12,-0.3964,33043.79,99828.037
600511.SH,20250325,30.21,30.3,30.03,30.27,30.1,0.17,0.5648,34100.67,102919.355
600511.SH,20250324,30.19,30.39,29.95,30.1,30.19,-0.09,-0.2981,39632.33,119184.831
600511.SH,20250321,30.61,30.79,30.14,30.19,30.6,-0.41,-1.3399,51111.66,155149.253
600511.SH,20250320,30.66,30.9,30.1,30.6,31.16,-0.56,-1.7972,93964.62,285618.505
600511.SH,20250319,31.04,31.26,31.0,31.16,31.13,0.03,0.0964,28557.29,88866.156
600511.SH,20250318,31.24,31.39,31.0,31.13,31.21,-0.08,-0.2563,37934.62,118413.868
600511.SH,20250317,31.34,31.45,31.03,31.21,31.16,0.05,0.1605,42179.04,131717.729
600511.SH,20250314,30.18,31.29,30.18,31.16,30.18,0.98,3.2472,88329.76,272395.452
600511.SH,20250313,30.06,30.36,29.96,30.18,30.1,0.08,0.2658,38613.8,116456.433
