trade_time,open,high,low,close,volume
2025-06-16 14:15:00,1418.19,1418.19,1417.02,1418.0,783
2025-06-16 14:20:00,1418.01,1420.58,1418.01,1420.41,695
2025-06-16 14:25:00,1420.75,1422.0,1420.75,1421.87,971
2025-06-16 14:30:00,1421.29,1421.62,1419.3,1421.09,461
2025-06-16 14:35:00,1421.1,1422.59,1420.76,1422.5,717
2025-06-16 14:40:00,1422.55,1425.04,1422.5,1423.15,862
2025-06-16 14:45:00,1423.11,1423.11,1421.19,1421.21,576
2025-06-16 14:50:00,1421.1,1422.78,1420.6,1422.12,546
2025-06-16 14:55:00,1422.11,1422.68,1422.1,1422.16,715
2025-06-16 15:00:00,1422.17,1422.4,1422.01,1422.29,724
2025-06-17 09:35:00,1420.0,1426.32,1412.18,1416.61,3062
2025-06-17 09:40:00,1417.0,1420.8,1415.19,1419.36,1362
2025-06-17 09:45:00,1418.68,1425.1,1417.0,1424.51,1166
2025-06-17 09:50:00,1425.0,1425.6,1420.0,1425.6,1081
2025-06-17 09:55:00,1425.6,1427.0,1423.52,1423.59,1232
2025-06-17 10:00:00,1423.56,1426.2,1423.56,1424.47,792
2025-06-17 10:05:00,1424.47,1424.47,1420.0,1420.0,710
2025-06-17 10:10:00,1420.04,1420.99,1418.19,1419.01,778
2025-06-17 10:15:00,1419.0,1419.0,1418.26,1418.26,326
2025-06-17 10:20:00,1418.2,1418.5,1418.0,1418.44,369
2025-06-17 10:25:00,1418.5,1419.8,1418.0,1419.77,310
2025-06-17 10:30:00,1419.77,1419.88,1416.8,1416.8,683
2025-06-17 10:35:00,1416.66,1416.66,1415.27,1416.32,590
2025-06-17 10:40:00,1416.3,1418.1,1415.6,1417.0,371
2025-06-17 10:45:00,1416.94,1417.1,1415.2,1415.2,450
2025-06-17 10:50:00,1415.2,1415.25,1413.52,1413.55,734
2025-06-17 10:55:00,1413.52,1416.04,1413.24,1416.04,402
2025-06-17 11:00:00,1416.01,1417.95,1415.3,1417.5,435
2025-06-17 11:05:00,1417.53,1417.53,1416.11,1416.65,172
2025-06-17 11:10:00,1416.98,1419.0,1416.65,1417.08,433
2025-06-17 11:15:00,1418.95,1419.77,1416.85,1416.85,225
2025-06-17 11:20:00,1416.85,1416.98,1416.5,1416.5,202
2025-06-17 11:25:00,1416.51,1418.58,1416.3,1418.2,163
2025-06-17 11:30:00,1418.2,1418.2,1416.88,1416.9,218
2025-06-17 13:05:00,1417.73,1417.86,1415.28,1415.45,506
2025-06-17 13:10:00,1415.85,1415.85,1415.0,1415.0,289
2025-06-17 13:15:00,1415.0,1417.06,1415.0,1417.04,274
2025-06-17 13:20:00,1416.12,1416.79,1415.0,1415.75,294
2025-06-17 13:25:00,1415.72,1416.92,1415.22,1416.0,275
2025-06-17 13:30:00,1415.86,1417.76,1415.2,1417.76,311
2025-06-17 13:35:00,1417.76,1420.99,1417.18,1420.06,519
2025-06-17 13:40:00,1420.32,1421.09,1419.97,1420.47,372
2025-06-17 13:45:00,1420.0,1421.66,1419.31,1421.0,392
2025-06-17 13:50:00,1421.3,1423.5,1421.01,1422.9,453
2025-06-17 13:55:00,1422.9,1423.0,1422.2,1422.7,377
2025-06-17 14:00:00,1422.66,1423.49,1422.3,1423.48,522
2025-06-17 14:05:00,1423.47,1425.36,1423.47,1423.75,610
2025-06-17 14:10:00,1423.75,1423.75,1422.61,1422.71,328
2025-06-17 14:15:00,1422.7,1422.79,1422.51,1422.77,304
2025-06-17 14:20:00,1422.76,1422.76,1422.3,1422.36,312
2025-06-17 14:25:00,1422.39,1424.22,1422.31,1423.56,403
2025-06-17 14:30:00,1423.64,1424.29,1422.47,1424.21,424
2025-06-17 14:35:00,1424.2,1424.29,1423.23,1424.18,352
2025-06-17 14:40:00,1424.21,1425.42,1424.0,1425.16,482
2025-06-17 14:45:00,1425.37,1425.45,1424.39,1425.21,531
2025-06-17 14:50:00,1425.33,1425.49,1425.0,1425.28,609
2025-06-17 14:55:00,1425.27,1426.32,1425.2,1426.32,885
2025-06-17 15:00:00,1426.28,1427.0,1426.28,1427.0,1142
2025-06-18 09:35:00,1440.0,1443.44,1435.96,1441.88,6021
2025-06-18 09:40:00,1441.97,1442.8,1438.4,1440.99,1798
2025-06-18 09:45:00,1441.32,1441.88,1436.96,1436.96,1518
2025-06-18 09:50:00,1436.55,1436.55,1428.0,1429.45,1871
2025-06-18 09:55:00,1429.45,1432.0,1429.45,1431.0,639
2025-06-18 10:00:00,1431.55,1431.59,1425.0,1427.02,1037
2025-06-18 10:05:00,1427.01,1428.38,1426.21,1427.77,561
2025-06-18 10:10:00,1428.38,1429.37,1426.3,1426.3,555
2025-06-18 10:15:00,1426.35,1426.87,1423.1,1423.1,825
2025-06-18 10:20:00,1423.1,1425.07,1421.01,1424.06,588
2025-06-18 10:25:00,1424.04,1424.81,1422.43,1424.39,633
2025-06-18 10:30:00,1423.74,1427.0,1423.2,1426.79,529
2025-06-18 10:35:00,1425.88,1428.0,1425.88,1427.34,396
2025-06-18 10:40:00,1427.22,1428.5,1426.0,1426.19,411
2025-06-18 10:45:00,1426.62,1429.79,1426.62,1428.38,320
2025-06-18 10:50:00,1428.44,1429.98,1426.21,1426.21,328
2025-06-18 10:55:00,1426.21,1426.43,1423.26,1424.19,409
2025-06-18 11:00:00,1424.19,1426.0,1423.23,1426.0,368
2025-06-18 11:05:00,1425.85,1425.85,1423.01,1423.12,307
2025-06-18 11:10:00,1423.3,1424.39,1423.3,1424.22,314
2025-06-18 11:15:00,1424.27,1425.34,1423.38,1424.56,219
2025-06-18 11:20:00,1424.56,1424.58,1423.52,1424.52,300
2025-06-18 11:25:00,1424.79,1428.4,1424.58,1428.4,244
2025-06-18 11:30:00,1427.99,1428.87,1426.68,1427.99,255
2025-06-18 13:05:00,1428.0,1432.99,1428.0,1430.8,687
2025-06-18 13:10:00,1430.51,1432.0,1429.0,1432.0,402
2025-06-18 13:15:00,1431.99,1433.0,1431.14,1431.43,390
2025-06-18 13:20:00,1431.25,1432.94,1431.1,1431.13,429
2025-06-18 13:25:00,1431.09,1431.16,1428.12,1428.14,523
2025-06-18 13:30:00,1428.98,1432.29,1428.2,1431.0,458
2025-06-18 13:35:00,1431.0,1431.04,1429.97,1430.9,321
2025-06-18 13:40:00,1430.9,1433.0,1430.9,1431.55,361
2025-06-18 13:45:00,1431.49,1431.63,1431.2,1431.63,251
2025-06-18 13:50:00,1431.63,1432.36,1431.28,1431.28,316
2025-06-18 13:55:00,1431.08,1431.08,1429.1,1429.21,412
2025-06-18 14:00:00,1429.35,1429.36,1429.21,1429.22,282
2025-06-18 14:05:00,1429.23,1429.23,1428.0,1428.17,394
2025-06-18 14:10:00,1428.18,1429.02,1428.11,1429.02,262
2025-06-18 14:15:00,1429.16,1430.48,1429.15,1430.47,312
2025-06-18 14:20:00,1430.48,1430.48,1425.62,1426.4,586
2025-06-18 14:25:00,1426.58,1428.01,1426.0,1428.01,329
2025-06-18 14:30:00,1428.01,1428.14,1428.01,1428.14,274
2025-06-18 14:35:00,1428.13,1428.14,1426.33,1426.79,426
2025-06-18 14:40:00,1426.88,1427.54,1426.88,1427.15,329
2025-06-18 14:45:00,1427.15,1427.37,1426.11,1426.35,560
2025-06-18 14:50:00,1426.29,1426.29,1425.7,1425.8,632
2025-06-18 14:55:00,1425.82,1425.87,1424.0,1424.48,713
2025-06-18 15:00:00,1424.24,1426.0,1424.01,1425.0,666
2025-06-19 09:35:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 09:40:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 09:45:00,1425.0,1425.0,1425.0,1425.0,0
2025-06-19 09:50:00,1425.0,1425.0,1425.0,1425.0,0
